date_vente;Id_point_de_vente;Id_produit;Quantite
16/06/2014;18;1;1
23/06/2014;21;2;1
04/01/2014;12;3;1
14/12/2014;16;4;1
22/06/2015;20;5;3
11/05/2015;15;6;4
13/05/2015;16;101;2
16/02/2015;22;102;1
21/08/2014;18;103;1
11/03/2016;12;104;1
30/12/2014;17;105;2
27/11/2014;18;201;3
07/11/2015;10;202;5
23/02/2015;14;203;2
06/02/2015;24;204;3
08/09/2015;13;1;5
20/12/2015;17;2;6
07/10/2014;15;3;4
08/09/2015;20;4;2
02/12/2015;14;5;3
05/07/2014;18;6;8
04/11/2014;12;101;1
03/06/2014;20;102;2
27/07/2014;13;103;3
29/04/2014;12;104;4
07/10/2014;23;105;4
23/02/2015;22;201;4
01/02/2014;24;202;5
14/11/2014;19;203;5
16/10/2014;16;204;2
18/07/2014;21;104;2
29/03/2015;10;105;1
07/09/2014;21;201;1
19/08/2015;25;202;1
27/04/2015;14;2;1
27/06/2014;10;3;3
14/07/2014;13;4;4
09/05/2015;24;4;2
01/11/2015;17;5;1
24/04/2014;15;6;1
01/06/2014;17;4;1
09/08/2015;11;2;2
22/01/2015;11;3;3
02/06/2015;14;5;5
09/12/2014;21;6;2
09/05/2015;21;2;3
29/06/2014;21;4;5
01/12/2014;25;3;6
09/12/2015;14;203;4
19/08/2015;25;204;2
20/12/2014;16;104;3
11/09/2014;25;203;8
16/03/2015;25;204;1
13/03/2015;19;104;2
29/02/2016;20;203;3
01/05/2014;17;204;4
20/10/2015;22;104;4
21/02/2014;10;203;4
20/04/2015;12;204;5
09/02/2014;23;104;5
12/12/2014;25;202;2
03/01/2016;20;203;2
22/01/2014;10;202;1
07/11/2014;18;203;1
10/01/2014;16;1;1
25/04/2014;13;2;1
31/07/2014;22;3;3
06/11/2015;15;4;4
09/03/2016;25;5;2
30/08/2015;17;6;1
06/01/2016;19;101;1
27/09/2015;10;102;1
17/08/2015;19;103;2
04/02/2016;13;104;3
23/12/2014;11;105;5
26/02/2015;14;201;2
26/09/2014;25;202;3
26/12/2015;11;203;5
14/04/2015;13;204;6
04/05/2015;16;1;4
05/09/2015;11;2;2
27/10/2014;16;3;3
18/06/2014;24;4;8
15/08/2015;19;5;1
25/08/2015;22;6;2
21/06/2015;13;101;3
22/08/2015;17;102;4
06/07/2015;17;103;4
10/10/2015;12;104;4
27/07/2015;12;105;5
09/09/2015;16;201;5
03/08/2015;21;202;2
14/08/2015;10;203;2
01/02/2015;12;204;1
19/03/2015;12;104;1
05/06/2014;15;105;1
16/05/2015;16;201;1
23/02/2015;12;202;3
20/10/2014;10;2;4
20/05/2014;11;3;2
07/01/2016;22;4;1
21/01/2015;23;4;1
03/09/2015;17;5;1
06/05/2014;25;6;2
15/12/2015;18;4;3
14/08/2014;24;2;5
30/08/2014;20;3;2
31/12/2015;20;5;3
27/10/2015;19;6;5
06/02/2014;14;2;6
25/09/2014;25;4;4
05/11/2015;14;3;2
11/11/2014;23;203;3
29/04/2015;10;204;8
08/11/2015;12;104;1
03/07/2015;15;203;2
22/01/2015;21;204;3
20/02/2016;11;104;4
14/01/2016;23;203;4
01/06/2014;21;204;4
01/11/2015;13;104;5
03/01/2016;19;203;5
03/04/2015;16;204;2
05/03/2015;16;104;2
10/06/2015;15;202;1
17/08/2014;19;203;1
15/03/2016;24;202;1
28/10/2015;14;203;1
22/04/2015;25;1;3
07/02/2015;15;2;4
15/01/2016;16;3;2
28/12/2015;25;4;1
28/04/2014;15;5;1
13/03/2016;12;6;1
05/07/2015;14;101;2
07/02/2016;13;102;3
13/02/2016;10;103;5
05/10/2014;14;104;2
25/04/2015;15;105;3
24/12/2014;21;201;5
13/03/2014;11;202;6
03/11/2015;19;203;4
27/09/2015;19;204;2
21/02/2014;10;1;3
28/10/2015;11;2;8
16/07/2015;11;3;1
09/10/2015;20;4;2
03/11/2015;11;5;3
01/07/2014;11;6;4
03/02/2016;20;101;4
25/09/2015;12;102;4
24/07/2015;22;103;5
02/08/2015;13;104;5
27/03/2015;10;105;2
09/02/2016;21;201;2
10/12/2015;11;202;1
27/03/2015;17;203;1
16/08/2014;17;204;1
04/09/2015;24;104;1
07/03/2016;12;105;3
21/02/2014;22;201;4
10/08/2014;14;202;2
22/11/2015;16;2;1
01/11/2014;12;3;1
30/03/2015;14;4;1
29/12/2015;10;4;2
21/10/2015;21;5;3
21/11/2015;16;6;5
21/02/2016;13;4;2
18/01/2015;11;2;3
13/11/2014;15;3;5
19/03/2014;21;5;6
02/12/2014;15;6;4
08/05/2014;19;2;2
11/05/2014;18;4;3
13/06/2014;17;3;8
27/11/2014;13;203;1
19/06/2014;16;204;2
19/07/2014;13;104;3
17/01/2014;25;203;4
10/03/2014;16;204;4
23/12/2014;24;104;4
06/07/2014;21;203;5
20/03/2014;11;204;5
05/11/2014;14;104;2
09/07/2014;21;203;2
24/01/2016;20;204;1
05/09/2014;18;104;1
03/05/2015;21;202;1
05/12/2014;12;203;1
26/06/2014;17;202;3
04/03/2015;12;203;4
19/08/2014;20;1;2
15/09/2014;21;2;1
03/03/2014;12;3;1
24/02/2016;22;4;1
22/08/2014;19;5;2
12/08/2015;21;6;3
26/04/2015;11;101;5
20/08/2014;15;102;2
05/02/2014;11;103;3
09/03/2016;17;104;5
08/04/2015;20;105;6
01/08/2014;23;201;4
19/03/2015;16;202;2
03/03/2015;13;203;3
17/04/2015;19;204;8
15/06/2014;23;1;1
14/03/2016;20;2;2
22/05/2015;23;3;3
12/02/2016;20;4;4
16/10/2015;24;5;4
02/02/2015;10;6;4
15/10/2015;16;101;5
15/01/2015;18;102;5
09/03/2016;18;103;2
31/12/2014;21;104;2
04/04/2015;19;105;1
25/03/2015;13;201;1
23/03/2015;12;202;1
08/01/2016;17;203;1
21/05/2014;17;204;3
28/01/2016;13;104;4
23/05/2015;19;105;2
12/01/2014;15;201;1
07/12/2015;17;202;1
11/12/2015;10;2;1
06/02/2014;13;3;2
27/12/2015;19;4;3
24/05/2015;12;4;5
19/01/2014;18;5;2
02/04/2014;12;6;3
22/09/2015;20;4;5
14/10/2014;20;2;6
09/12/2014;12;3;4
22/08/2014;13;5;2
18/11/2015;20;6;3
15/10/2014;10;2;8
28/11/2015;12;4;1
30/01/2016;19;3;2
22/04/2015;22;203;3
15/10/2014;11;204;4
05/07/2015;14;104;4
20/10/2015;15;203;4
05/09/2014;25;204;5
03/10/2014;25;104;5
03/06/2015;13;203;2
14/03/2016;21;204;2
03/04/2015;14;104;1
01/01/2014;17;203;1
14/07/2014;15;204;1
16/02/2016;21;104;1
27/04/2015;25;202;3
06/03/2014;23;203;4
11/06/2014;10;202;2
04/01/2016;18;203;1
23/06/2015;15;1;1
26/12/2014;11;2;1
26/10/2014;12;3;2
13/03/2015;21;4;3
23/04/2015;21;5;5
29/03/2014;11;6;2
03/11/2014;14;101;3
23/11/2015;17;102;5
05/11/2014;24;103;6
26/02/2015;23;104;4
24/04/2014;21;105;2
17/11/2015;13;201;3
19/12/2014;14;202;8
27/08/2015;10;203;1
04/10/2015;17;204;2
20/01/2015;23;1;3
20/12/2014;12;2;4
20/05/2014;11;3;4
12/05/2014;18;4;4
29/03/2014;18;5;5
23/09/2014;12;6;5
13/11/2015;19;101;2
26/03/2015;18;102;2
08/09/2014;16;103;1
20/11/2014;18;104;1
28/07/2014;18;105;1
02/08/2015;13;201;1
28/01/2015;23;202;3
09/11/2015;10;203;4
20/08/2014;15;204;2
02/03/2015;23;104;1
01/02/2016;16;105;1
31/07/2015;25;201;1
17/08/2014;22;202;2
01/07/2015;17;2;3
31/12/2014;23;3;5
18/01/2014;21;4;2
27/03/2015;16;4;3
14/06/2015;15;5;5
05/04/2014;11;6;6
02/12/2015;12;4;4
31/01/2015;20;2;2
03/05/2015;20;3;3
19/04/2015;12;5;8
23/12/2014;21;6;1
11/09/2015;12;2;2
03/01/2014;18;4;3
24/04/2015;25;3;4
26/08/2015;18;203;4
14/12/2014;12;204;4
15/09/2015;19;104;5
05/10/2015;12;203;5
26/04/2015;25;204;2
20/03/2015;14;104;2
17/12/2014;12;203;1
05/06/2015;18;204;1
20/11/2014;16;104;1
17/07/2014;14;203;1
13/01/2016;21;204;3
22/10/2014;14;104;4
10/04/2015;24;202;2
28/09/2014;10;203;1
07/09/2015;19;202;1
04/12/2014;11;203;1
15/12/2015;11;1;2
25/07/2014;12;2;3
06/11/2014;25;3;5
07/08/2015;11;4;2
30/11/2014;19;5;3
10/06/2014;17;6;5
23/06/2015;25;101;6
06/04/2015;22;102;4
11/05/2014;25;103;2
21/12/2015;11;104;3
04/01/2014;24;105;8
14/04/2015;16;201;1
21/12/2015;23;202;2
21/08/2014;18;203;3
15/05/2015;24;204;4
14/12/2015;24;1;4
07/09/2015;20;2;4
14/02/2016;16;3;5
05/01/2015;14;4;5
25/04/2014;21;5;2
25/01/2016;19;6;2
12/09/2014;21;101;1
31/10/2014;19;102;1
13/01/2016;18;103;1
26/08/2014;21;104;1
10/10/2015;13;105;3
01/08/2015;22;201;4
06/01/2016;20;202;2
11/11/2014;12;203;1
20/10/2015;10;204;1
24/05/2014;16;104;1
21/09/2015;17;105;2
20/08/2014;17;201;3
29/01/2014;13;202;5
10/08/2014;12;2;2
30/07/2014;22;3;3
13/01/2014;21;4;5
26/09/2014;23;4;6
15/07/2015;18;5;4
23/12/2015;23;6;2
25/01/2015;10;4;3
10/05/2014;10;2;8
29/02/2016;20;3;1
01/08/2015;21;5;2
05/04/2015;21;6;3
17/10/2015;15;2;4
19/12/2014;20;4;4
18/01/2016;22;3;4
17/05/2014;14;203;5
19/11/2015;21;204;5
15/11/2015;25;104;2
10/01/2014;20;203;2
22/08/2014;24;204;1
10/12/2014;11;104;1
25/04/2015;16;203;1
16/07/2015;25;204;1
19/11/2014;24;104;3
19/01/2014;12;203;4
28/05/2014;25;204;2
14/08/2014;10;104;1
04/11/2014;16;202;1
01/09/2014;14;203;1
22/10/2014;23;202;2
17/09/2014;11;203;3
27/06/2015;11;1;5
09/03/2016;23;2;2
25/03/2015;17;3;3
01/12/2014;18;4;5
25/03/2014;17;5;6
